ค่าย,ประเภทแพ็กเกจ,ชื่อแพ็กเกจ, ค่าบริการ ,หน่วยราคา,โทรในเครือข่าย,โทรนอกเครือข่าย,เงื่อนไขโทร,ปริมาณเน็ต,ความเร็วเน็ตสูงสุด,Wifi,ส่วนเกินค่าโทรในเครือข่าย,ส่วนเกินค่าโทรนอกเครือข่าย,ส่วนเกินค่าเน็ต,SMS,MMS,ส่วนเกินSMS ,ส่วนเกินMMS ,ของแถม,เงื่อนไขเพิ่มเติม,Type,price,baht,call,min,netcapacity,gb,speed,mbps
AIS,รายเดือน,Fixxy,449,บาท/เดือน,ไม่จำกัด,200 นาที ,,ไม่จำกัด,15 Mbps,AIS Super Wifi (ไม่จำกัด), - , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"Youtube Premium 3 เดือน, PLAY Family 6 เดือน",โทรฟรีในเครือข่ายครั้งละ 30 นาที,4G/3G,449,,200,,9999,,15,
AIS,รายเดือน,Fixxy,399,บาท/เดือน,ไม่จำกัด,150 นาที ,,ไม่จำกัด,10 Mbps,AIS Super Wifi (ไม่จำกัด), - , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"Youtube Premium 3 เดือน, PLAY Family 6 เดือน",โทรฟรีในเครือข่ายครั้งละ 30 นาที,4G/3G,399,,150,,9999,,10,
AIS,รายเดือน,Fixxy,349,บาท/เดือน,ไม่จำกัด,50 นาที ,,ไม่จำกัด,10 Mbps,AIS Super Wifi (ไม่จำกัด), - , 1.50 บ./นาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,"Youtube Premium 3 เดือน, PLAY Family 6 เดือน",โทรฟรีในเครือข่ายครั้งละ 30 นาที,4G/3G,349,,50,,9999,,10,
AIS,รายเดือน,iEntertain Non-Stop Plus,899,บาท/เดือน,150 นาที ,150 นาที ,(ทุกเครือข่าย),12 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,120 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 4 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,899,,150,,12,,9999,
AIS,รายเดือน,iEntertain Non-Stop Plus,699,บาท/เดือน,120 นาที ,120 นาที ,(ทุกเครือข่าย),8 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,90 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 4 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,699,,120,,8,,9999,
AIS,รายเดือน,iEntertain Non-Stop Plus,599,บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),6 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,70 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 3 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,599,,100,,6,,9999,
AIS,รายเดือน,iEntertain Non-Stop Plus,499,บาท/เดือน,80 นาที ,80 นาที ,(ทุกเครือข่าย),4 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,50 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 3 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,499,,80,,4,,9999,
AIS,รายเดือน,iEntertain Non-Stop Plus,399,บาท/เดือน,70 นาที ,70 นาที ,(ทุกเครือข่าย),3 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,40 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 3 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,399,,70,,3,,9999,
AIS,รายเดือน,iEntertain Non-Stop Plus,299,บาท/เดือน,50 นาที ,50 นาที ,(ทุกเครือข่าย),750 MB,Full Speed,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,20 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 3 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,299,,50,,0.75,,9999,
AIS,รายเดือน,ธงฟ้า,240,บาท/เดือน,-,-,,3 GB,Full Speed,-, 0.011 บ./วินาที , 0.011 บ./วินาที ,0.18 บ./MB,-,-, 1 บ./ข้อความ , 2.4 บ./ข้อความ ,YouTube Premium 3 เดือน,อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล,4G/3G,240,,0,,3,,9999,
AIS,รายเดือน,เริ่มต้น,"1,500",บาท/เดือน,"2,220 นาที ","2,220 นาที ",(ทุกเครือข่าย),-,-,-, 1.50 บ./นาที , 1.50 บ./นาที ,1.50 บ./MB,-,-, 3 บ./ข้อความ , 6 บ./ข้อความ ,"Segment Gold 12 เดือน, YouTube Premium 4 เดือน, ใช้งานฟรี Facebook/ Line/ WhatsApp ไม่จำกัด 12 รอบบิล",สิทธิ์ใช้งานฟรี Facebook/ Line/ WhatsApp สำหรับผู้เปิดใช้บริการเลขหมายใหม่ ย้ายค่ายเบอร์เดิมและเปลี่ยนจากระบบเติมเงิน,4G/3G,1500,,2220,,0,,0,
AIS,รายเดือน,เริ่มต้น,"1,200",บาท/เดือน,"1,720 นาที ","1,720 นาที ",(ทุกเครือข่าย),-,-,-, 1.50 บ./นาที , 1.50 บ./นาที ,1.50 บ./MB,-,-, 3 บ./ข้อความ , 6 บ./ข้อความ ," YouTube Premium 4 เดือน, ใช้งานฟรี Facebook/ Line/ WhatsApp ไม่จำกัด เป็นระยะเวลา 12 รอบบิล",สิทธิ์ใช้งานฟรี Facebook/ Line/ WhatsApp สำหรับผู้เปิดใช้บริการเลขหมายใหม่ ย้ายค่ายเบอร์เดิมและเปลี่ยนจากระบบเติมเงิน,4G/3G,1200,,1720,,0,,0,
AIS,รายเดือน,เริ่มต้น,"1,000",บาท/เดือน,"1,380 นาที ","1,380 นาที ",(ทุกเครือข่าย),-,-,-, 1.50 บ./นาที , 1.50 บ./นาที ,1.50 บ./MB,-,-, 3 บ./ข้อความ , 6 บ./ข้อความ ," YouTube Premium 4 เดือน, ใช้งานฟรี Facebook/ Line/ WhatsApp ไม่จำกัด เป็นระยะเวลา 12 รอบบิล",สิทธิ์ใช้งานฟรี Facebook/ Line/ WhatsApp สำหรับผู้เปิดใช้บริการเลขหมายใหม่ ย้ายค่ายเบอร์เดิมและเปลี่ยนจากระบบเติมเงิน,4G/3G,1000,,1380,,0,,0,
AIS,รายเดือน,เริ่มต้น,850,บาท/เดือน,"1,150 นาที ","1,150 นาที ",(ทุกเครือข่าย),-,-,-, 1.50 บ./นาที , 1.50 บ./นาที ,1.50 บ./MB,-,-, 3 บ./ข้อความ , 6 บ./ข้อความ ," YouTube Premium 4 เดือน, ใช้งานฟรี Facebook/ Line/ WhatsApp ไม่จำกัด เป็นระยะเวลา 12 รอบบิล",สิทธิ์ใช้งานฟรี Facebook/ Line/ WhatsApp สำหรับผู้เปิดใช้บริการเลขหมายใหม่ ย้ายค่ายเบอร์เดิมและเปลี่ยนจากระบบเติมเงิน,4G/3G,850,,1150,,0,,0,
AIS,รายเดือน,เริ่มต้น,650,บาท/เดือน,850 นาที ,850 นาที ,(ทุกเครือข่าย),-,-,-, 1.50 บ./นาที , 1.50 บ./นาที ,1.50 บ./MB,-,-, 3 บ./ข้อความ , 6 บ./ข้อความ ," YouTube Premium 3 เดือน, ใช้งานฟรี Facebook/ Line/ WhatsApp ไม่จำกัด เป็นระยะเวลา 12 รอบบิล",สิทธิ์ใช้งานฟรี Facebook/ Line/ WhatsApp สำหรับผู้เปิดใช้บริการเลขหมายใหม่ ย้ายค่ายเบอร์เดิมและเปลี่ยนจากระบบเติมเงิน,4G/3G,650,,850,,0,,0,
AIS,รายเดือน,เริ่มต้น,450,บาท/เดือน,580 นาที ,580 นาที ,(ทุกเครือข่าย),-,-,-, 1.50 บ./นาที , 1.50 บ./นาที ,1.50 บ./MB,-,-, 3 บ./ข้อความ , 6 บ./ข้อความ ," YouTube Premium 3 เดือน, ใช้งานฟรี Facebook/ Line/ WhatsApp ไม่จำกัด เป็นระยะเวลา 12 รอบบิล",สิทธิ์ใช้งานฟรี Facebook/ Line/ WhatsApp สำหรับผู้เปิดใช้บริการเลขหมายใหม่ ย้ายค่ายเบอร์เดิมและเปลี่ยนจากระบบเติมเงิน,4G/3G,450,,580,,0,,0,
AIS,รายเดือน,คุยสะใจ,295,บาท/เดือน,360 นาที ,360 นาที ,(ทุกเครือข่าย),-,-,-, 40 สต./นาที (3 นาทีแรก 2.10 บ.) , 40 สต./นาที (3 นาทีแรก 2.10 บ.) ,1.70 บ./MB,-,-, 2.5 บ./ข้อความ , 5 บ./ข้อความ , YouTube Premium 3 เดือน,-,4G/3G,295,,360,,0,,0,
AIS,รายเดือน,NET SIM,"1,099",บาท/เดือน,-,-,,14 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,0.20 บ./MB,-,-, 3.21 บ./ข้อความ , 6.42 บ./ข้อความ ,เปิดเบอร์ใหม่รับเน็ต 4G/3G เพิ่ม 6 GB (12เดือน),หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,1099,,0,,14,,9999,
AIS,รายเดือน,NET SIM,899,บาท/เดือน,-,-,,8 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,0.20 บ./MB,-,-, 3.21 บ./ข้อความ , 6.42 บ./ข้อความ ,เปิดเบอร์ใหม่รับเน็ต 4G/3G เพิ่ม 8 GB (12เดือน),หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps,4G/3G,899,,0,,8,,9999,
AIS,รายเดือน,NET SIM,699,บาท/เดือน,-,-,,5 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,0.20 บ./MB,-,-, 3.21 บ./ข้อความ , 6.42 บ./ข้อความ ,เปิดเบอร์ใหม่รับเน็ต 4G/3G เพิ่ม 5 GB (12เดือน),หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,699,,0,,5,,9999,
AIS,รายเดือน,NET SIM,499,บาท/เดือน,-,-,,3 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,0.20 บ./MB,-,-, 3.21 บ./ข้อความ , 6.42 บ./ข้อความ ,เปิดเบอร์ใหม่รับเน็ต 4G/3G เพิ่ม 3 GB (12เดือน),หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,499,,0,,3,,9999,
AIS,รายเดือน,NET SIM,399,บาท/เดือน,-,-,,2 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,0.20 บ./MB,-,-, 3.21 บ./ข้อความ , 6.42 บ./ข้อความ ,เปิดเบอร์ใหม่รับเน็ต 4G/3G เพิ่ม 2 GB (6เดือน),หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,399,,0,,2,,9999,
AIS,รายเดือน,NET SIM,299,บาท/เดือน,-,-,,1 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,0.20 บ./MB,-,-, 3.21 บ./ข้อความ , 6.42 บ./ข้อความ ,เปิดเบอร์ใหม่รับเน็ต 4G/3G เพิ่ม 500 MB (6เดือน),หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,299,,0,,1,,9999,
AIS,รายเดือน,NET SIM,199,บาท/เดือน,-,-,,-,-,AIS Super Wifi (ไม่จำกัด), 1.5 บ./นาที , 1.5 บ./นาที ,0.20 บ./MB,-,-, 3.21 บ./ข้อความ , 6.42 บ./ข้อความ ,เปิดเบอร์ใหม่รับเน็ต 4G/3G เพิ่ม 500 MB,หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps,4G/3G,199,,0,,0,,0,
AIS,รายเดือน,iSmart,999,บาท/เดือน,500 นาที ,500 นาที ,(ทุกเครือข่าย),3 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.61 บ./นาที , 1.61 บ./นาที ,-,-,-, 3.21 บ./ข้อความ , 4.28 บ./ข้อความ ,-, หลังจากใช้งาน internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่องความเร็วสูงสุด 256 kbps.,4G/3G,999,,500,,3,,9999,
AIS,รายเดือน,iSmart,799,บาท/เดือน,400 นาที ,400 นาที ,(ทุกเครือข่าย),2 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.61 บ./นาที , 1.61 บ./นาที ,-,-,-, 3.21 บ./ข้อความ , 4.28 บ./ข้อความ ,-, หลังจากใช้งาน internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่องความเร็วสูงสุด 128 kbps.,4G/3G,799,,400,,2,,9999,
AIS,รายเดือน,iSmart,599,บาท/เดือน,300 นาที ,300 นาที ,(ทุกเครือข่าย),1.5 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.61 บ./นาที , 1.61 บ./นาที ,-,-,-, 3.21 บ./ข้อความ , 4.28 บ./ข้อความ ,-, หลังจากใช้งาน internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่องความเร็วสูงสุด 64 kbps.,4G/3G,599,,300,,1.5,,9999,
AIS,รายเดือน,iSmart,399,บาท/เดือน,150 นาที ,150 นาที ,(ทุกเครือข่าย),750 MB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.61 บ./นาที , 1.61 บ./นาที ,-,-,-, 3.21 บ./ข้อความ , 4.28 บ./ข้อความ ,-, หลังจากใช้งาน internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่องความเร็วสูงสุด 64 kbps.,4G/3G,399,,150,,0.75,,9999,
AIS,รายเดือน,iSmart,299,บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),500 MB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.61 บ./นาที , 1.61 บ./นาที ,-,-,-, 3.21 บ./ข้อความ , 4.28 บ./ข้อความ ,-, หลังจากใช้งาน internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่องความเร็วสูงสุด 64 kbps.,4G/3G,299,,100,,0.5,,9999,
AIS,รายเดือน,SMS Lover,"1,499",บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),-,-,-, 0.03 บ./วินาที , 0.03 บ./วินาที ,0.90 บ./MB,"2,000 ข้อความ",5 ข้อความ,2.5 บ./ข้อความ, 4 บ./ข้อความ ,-,-,4G/3G,1499,,100,,0,,0,
AIS,รายเดือน,SMS Lover,"1,299",บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),-,-,-, 0.03 บ./วินาที , 0.03 บ./วินาที ,0.90 บ./MB,"1,500 ข้อความ",5 ข้อความ,2.5 บ./ข้อความ, 4 บ./ข้อความ ,-,-,4G/3G,1299,,100,,0,,0,
AIS,รายเดือน,SMS Lover,999,บาท/เดือน,100 นาที ,100 นาที ,(ทุกเครือข่าย),-,-,-, 0.03 บ./วินาที , 0.03 บ./วินาที ,0.90 บ./MB,"1,000 ข้อความ",5 ข้อความ,2.5 บ./ข้อความ, 4 บ./ข้อความ ,-,-,4G/3G,999,,100,,0,,0,
AIS,รายเดือน,4G Share Non-Stop,"2,499",บาท/เดือน,"2,500 นาที ","2,500 นาที ",(ทุกเครือข่าย),100 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,-,-,"โทรฟรีในกลุ่มสูงสุดครั้งละ 1 ชม.,เน็ตฟรีสำหรับ AIS PLAY 12 เดือน, Youtube Premium 4 เดือน","ใช้ได้สูงสุด 5 อุปกรณ์, หลังจากการใช้งาน 4G/3G ครบตามปริมาณที่กำหนด หมายเลขหลักและหมายเลขสมาชิก สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",4G/3G,2499,,2500,,100,,9999,
AIS,รายเดือน,4G Share Non-Stop,"1,899",บาท/เดือน,1500 นาที ,"1,500 นาที ",(ทุกเครือข่าย),70 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,-,-,"โทรฟรีในกลุ่มสูงสุดครั้งละ 1 ชม.,เน็ตฟรีสำหรับ AIS PLAY 12 เดือน, Youtube Premium 4 เดือน","ใช้ได้สูงสุด 5 อุปกรณ์, หลังจากการใช้งาน 4G/3G ครบตามปริมาณที่กำหนด หมายเลขหลักและหมายเลขสมาชิก สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",4G/3G,1899,,1500,,70,,9999,
AIS,รายเดือน,4G Share Non-Stop,"1,499",บาท/เดือน,"1,000 นาที ","1,000 นาที ",(ทุกเครือข่าย),50 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,-,-,"โทรฟรีในกลุ่มสูงสุดครั้งละ 1 ชม.,เน็ตฟรีสำหรับ AIS PLAY 12 เดือน, Youtube Premium 4 เดือน","ใช้ได้สูงสุด 5 อุปกรณ์, หลังจากการใช้งาน 4G/3G ครบตามปริมาณที่กำหนด หมายเลขหลักและหมายเลขสมาชิก สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",4G/3G,1499,,1000,,50,,9999,
AIS,รายเดือน,4G Share Non-Stop,"1,299",บาท/เดือน,800 นาที ,800 นาที ,(ทุกเครือข่าย),40 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,-,-,"โทรฟรีในกลุ่มสูงสุดครั้งละ 1 ชม.,เน็ตฟรีสำหรับ AIS PLAY 12 เดือน, Youtube Premium 4 เดือน","ใช้ได้สูงสุด 5 อุปกรณ์, หลังจากการใช้งาน 4G/3G ครบตามปริมาณที่กำหนด หมายเลขหลักและหมายเลขสมาชิก สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",4G/3G,1299,,800,,40,,9999,
AIS,รายเดือน,4G Share Non-Stop,"1,099",บาท/เดือน,600 นาที ,600 นาที ,(ทุกเครือข่าย),30 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,-,-,"โทรฟรีในกลุ่มสูงสุดครั้งละ 1 ชม.,เน็ตฟรีสำหรับ AIS PLAY 12 เดือน, Youtube Premium 4 เดือน","ใช้ได้สูงสุด 5 อุปกรณ์, หลังจากการใช้งาน 4G/3G ครบตามปริมาณที่กำหนด หมายเลขหลักและหมายเลขสมาชิก สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",4G/3G,1099,,600,,30,,9999,
AIS,รายเดือน,4G Share Non-Stop,899,บาท/เดือน,400 นาที ,400 นาที ,(ทุกเครือข่าย),20 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,-,-,"โทรฟรีในกลุ่มสูงสุดครั้งละ 1 ชม.,เน็ตฟรีสำหรับ AIS PLAY 12 เดือน, Youtube Premium 4 เดือน","ใช้ได้สูงสุด 5 อุปกรณ์, หลังจากการใช้งาน 4G/3G ครบตามปริมาณที่กำหนด หมายเลขหลักและหมายเลขสมาชิก สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",4G/3G,899,,400,,20,,9999,
AIS,รายเดือน,Online MAXX,399,บาท/เดือน,300 นาที ,300 นาที ,(ทุกเครือข่าย),20 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,2.5 บ./ข้อความ, 4 บ./ข้อความ ,-,-,4G/3G,399,,300,,20,,9999,
AIS,รายเดือน,Online MAXX,549,บาท/เดือน,700 นาที ,700 นาที ,(ทุกเครือข่าย),40 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,2.5 บ./ข้อความ, 4 บ./ข้อความ ,-,-,4G/3G,549,,700,,40,,9999,
AIS,รายเดือน,Online MAXX,749,บาท/เดือน,"1,200 นาที ","1,200 นาที ",(ทุกเครือข่าย),60 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,2.5 บ./ข้อความ, 4 บ./ข้อความ ,-,-,4G/3G,749,,1200,,60,,9999,
AIS,รายเดือน,Online MAXX,949,บาท/เดือน,"1,500 นาที ","1,500 นาที ",(ทุกเครือข่าย),80 GB,Full Speed,AIS Super Wifi (ไม่จำกัด), 1.50 บ./นาที , 1.50 บ./นาที ,-,-,-,2.5 บ./ข้อความ, 4 บ./ข้อความ ,-,-,4G/3G,949,,1500,,80,,9999,
AIS,เติมเงิน,THE ONE SIM,50,บาท,-,-,,-,-,AIS Super WiFi (30 วัน),42 สต./30 วินาที (นาทีแรก 1 บ.),42 สต./30 วินาที (นาทีแรก 1 บ.),1.5 บ./MB,-,-,2 บ./ข้อความ,3 บ./ข้อความ,"รับโบนัสฟรี 5 บาท และวันใช้งาน 30 วัน, รับสิทธิ์ใช้งาน Internet ในการดู YouTube ฟรี 2GB ใน 30 วันแรก ความเร็ว 7.2 Mbps, เมื่อเติมเงินสะสมครบทุก 50 บาท ในวันถัดไป จะได้รับสิทธิ์ใช้งาน Internet ในการดู YouTube ฟรี นาน 1 วัน (24 ชั่วโมง) ที่ความเร็ว 7.2 Mbps และสามารถรับสิทธิ์ฟรีได้ทุกวันเมื่อเติมเงินตามเงื่อนไข, รับสิทธิ์ใช้งาน Internet สำหรับ TikTok Application ฟรี ถึงเวลา 23.59 น. ทุกวัน ที่ความเร็ว 4 Mbps โดยสามารถรับสิทธิ์ได้ทุกวัน, รับสิทธิ์ใช้งาน Internet ฟรี ในการดูหนัง, ดูทีวี ผ่าน AIS PLAY Application และฟังเพลงผ่าน JOOX Application รวม 2 GB ต่อวัน ที่ความเร็ว 7.2 Mbps โดยสามารถรับสิทธิ์ได้ทุกวันผ่าน My AIS Application","เดือนที่ 2-12 จะได้รับสิทธิ์ฟรีต่อเนื่อง เมื่อเติมเงินสะสมครบ 150 บ. และเข้ารับสิทธิ์ตามเงื่อนไขที่กำหนด เติมเงินสะสมครบทุก 50 บาท ในวันถัดไป จะได้รับสิทธิ์ใช้งาน Internet ในการดู YouTube ฟรี! นาน 1 วัน (24 ชั่วโมง) ที่ความเร็ว 7.2 Mbps, รับสิทธิ์ใช้งาน Internet สำหรับ TikTok Application ฟรี ถึงเวลา 23.59 น. ทุกวัน ที่ความเร็ว 4 Mbps จะได้รับในเดือนถัดไป เมื่อเติมเงินสะสมครบ 150 บ. ต่อเดือน สิทธิ์ฟรี Internet สำหรับ AIS PLAY และ JOOX ดังกล่าวจะได้รับในวันถัดไปหลังจากเติมเงินสะสมครบ 150 บ. ต้องกดรับสิทธิ์ผ่าน My AIS Application, สิทธิ์ฟรี AIS SUPER WiFi 30 วัน จะได้รับในเดือนถัดไป เมื่อเติมเงินสะสมครบ 150 บ./เดือน",5G,50,,0,,0,,0,
AIS,เติมเงิน,SUPER PLAY,50,บาท,-,-,,-,-,AIS Super WiFi (30 วัน),1.4 สต./วินาที (นาทีแรก 99 สต.),1.4 สต./วินาที (นาทีแรก 99 สต.),1.5 บ./MB,-,-,2 บ./ข้อความ,3 บ./ข้อความ,รับทันที ดู AIS PLAY ไม่อั้นด้วยความเร็ว 7.2 Mbps. และโบนัสโทรฟรี 15 บาท(นาน 30 วัน),"เติมเงินสะสมครบ 150 บ. (รอบละ 30 วัน) จะได้รับสิทธิ์ ดู YouTube 1 GB ด้วยความเร็ว 7.2 Mbps (นาน 7 วัน), อินเทอร์เนตสำหรับมือถือที่รองรับ 4G 1 GB (นาน 7 วัน), ฟังเพลงไม่อั้นผ่านแอป JOOX ที่ความเร็ว 512 kbps (นาน 30 วัน),ใช้งาน AIS SUPER WiFi ปริมาณ 3GB (นาน 30 วัน) รับสิทธิ์ติดต่อกัน 12 รอบ",4G/3G,50,,0,,0,,0,
AIS,เติมเงิน,SUPER SOCIAL SIM,50,บาท,-,-,,-,-,AIS Super WiFi (30 วัน),1.5 สต./วินาที,1.5 สต./วินาที,1.5 บ./MB,-,-,2 บ./ข้อความ,3 บ./ข้อความ,"ฟรี Social App ไม่อั้น 4 Mbps; facebook, Messenger, LINE, Whatsapp, Twitter นาน 30 วัน, ฟรี AIS SUPER WiFi นาน 7 วัน, ลูกค้าใหม่ฟรีประกันภัย ไวรัสโคโรนา (Covid-19) จากอาคเนย์ประกันภัย","เมื่อเติมเงินสะสมครบ 150 บาท โทรฟรีในเครือข่ายเอไอเอส 15 นาที/ครั้ง นาน 30 วัน ค่าโทรส่วนเกินคิด 0.99 สตางค์/นาที เดือน 2-12 รับฟรีเมื่อเติมสะสมครบ ตามเงื่อนไข, เมื่อเติมเงินสะสมครบ 100 บาท/เดือน รับโทรฟรีในเครือข่ายเอไอเอส 15 นาที/ครั้ง นาน 15วัน, เมื่อเติมเงินสะสมครบ 150 บาท/เดือน รับโทรฟรีในเครือข่ายเอไอเอส 15 นาที/ครั้ง นาน 30 วัน, AIS Super WiFi นาน 30 วัน, ฟรี Social App ไม่อั้น 4 Mbps; facebook, Messenger, LINE, Whatsapp, Twitter นาน 30 วัน",5G,50,,0,,0,,0,
